,target,output,question
392,garden,"Answer:

<solution>
The answer is: The milk is in the hall",Where is the milk? 
393,garden,Answer:,Where is the milk? 
394,kitchen,"Answer:

OPTIONS:
[i] The Clergyman's house.",Where is the football? 
395,bedroom,"Answer:

<context>
The apple is in the kitchen.
</context",Where is the apple? 
396,bedroom,"Answer:

OPTIONS:
[i] in the garden.
[ii",Where is the apple? 
397,bedroom,"Answer:

<choices>
[i] The garden.
[ii]",Where is the apple? 
398,garden,"Answer:

<choices>
<i>The football is in the balcony.",Where is the football? 
399,garden,"Answer:

Available options:
[i] The Clergyman's house.",Where is the football? 
400,bathroom,"OPTIONS:
[a]. in the kitchen.
[b]. in the bathroom",Where is the milk? 
401,bathroom,"Answer:

Available options:
(A). in the kitchen
(B).",Where is the milk? 
402,garden,"Answer:

Available options:
[i] the barn
[ii] the",Where is the football? 
403,garden,"Answer:

Available options:
[i] The football is in the kitchen.",Where is the football? 
404,garden,"Answer:

<choices>
<a id=""choice-1""></a",Where is the football? 
405,hallway,"Answer:

Possible answers:
[i] The child is in the kitchen.",Where is the football? 
406,bathroom,"Answer:

OPT:

[i] The verandah.
[",Where is the football? 
407,bathroom,"Answer:

OPT:
[i] The garden.
[ii] The",Where is the football? 
408,bathroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the football? 
409,bathroom,"Answer:

<choices>
<!-- answers: <football> <",Where is the football? 
410,garden,"Answer:

<context>

The milk was in the bathroom.
</",Where is the milk? 
411,garden,"Answer:

<context>
The milk was in the garden.
</context",Where is the milk? 
412,bedroom,Answer:,Where is the apple? 
413,bedroom,"Answer:

<choices> <a href=""/q/1"">A</",Where is the apple? 
414,bedroom,Answer:,Where is the apple? 
415,bedroom,"Answer:

<choices>
<i>The first location</i>",Where is the football? 
416,bedroom,Answer:,Where is the football? 
417,hallway,Answer:,Where is the apple? 
418,hallway,"Answer:

<context>

The answer is:

A) The",Where is the apple? 
419,office,"Answer:

Available options:
[A]. The garden.
[B].",Where is the football? 
420,kitchen,"Answer:

Available options:
[i] The garden.
[ii]",Where is the apple? 
421,kitchen,Answer:,Where is the apple? 
422,kitchen,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
423,kitchen,Answer:,Where is the apple? 
424,kitchen,Answer:,Where is the milk? 
425,bathroom,Answer:,Where is the milk? 
426,bathroom,"Answer:

<choices>
<i>The kitchen</i>,
<",Where is the milk? 
427,kitchen,"Answer:
<choices> <i>The kitchen</i>, <i>The",Where is the milk? 
428,kitchen,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
429,kitchen,"Answer:

Choose from:
[1]. The stable.
[2].",Where is the milk? 
430,bedroom,"Answer:

Available options:
1). in the kitchen.
2). in",Where is the football? 
431,bedroom,Answer:,Where is the football? 
432,office,"Answer:

<choices>
[1]. The Howff
[2].",Where is the apple? 
433,hallway,Answer:,Where is the apple? 
434,bedroom,Answer:,Where is the apple? 
435,kitchen,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
436,kitchen,"OPTIONS:
[a]. in the corner of the street.
[b].",Where is the football? 
437,kitchen,"OPTIONS:
[a]. in the kitchen.
[b]. in the bathroom",Where is the football? 
438,hallway,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
439,hallway,"Answer:

<choices>
<a id=""choice-1""></a",Where is the milk? 
440,bathroom,"Answer:

<choices> <a id=""choice-1""></a>",Where is the milk? 
441,hallway,"OPTIONS:
[a]. in the bathroom.
[b]. in the kitchen",Where is the milk? 
442,hallway,"Answer:

OPTIONS:
[i] The bathroom.
[ii]",Where is the milk? 
443,garden,"Answer: The apple is in the bathroom.

Question: What is the amount of taxes",Where is the apple? 
444,garden,Answer:,Where is the apple? 
445,hallway,"Answer:
Available options:
[1]. in the office.
[2]. in",Where is the football? 
446,hallway,"Answer:

<choices>
<listing>
<item>
<",Where is the football? 
447,hallway,"Answer:

<choices>
<i>The football is in the hallway",Where is the football? 
448,bathroom,Answer:,Where is the milk? 
449,kitchen,"Answer:

Available options:
(A). The ship.
(B).",Where is the apple? 
450,garden,"Answer:

Available options:
[i] Simon's
[ii] Simon",Where is the milk? 
451,hallway,"Answer:

Available options:
[i] the aftermost;
[ii",Where is the football? 
452,hallway,"Answer:

In the first volume of the _Allgemeine deutsche",Where is the football? 
453,garden,"Answer: In the bedroom.

Question: Where is the football?

Answer",Where is the milk? 
454,garden,Answer:,Where is the milk? 
455,bedroom,"Answer:

<choices>
[i] The church.
[ii]",Where is the milk? 
456,bedroom,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
457,hallway,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
458,office,"Answer:

<choices> <!-- answer -->
 <!-- answer -->",Where is the milk? 
459,office,"Answer:

<choices> <option> <answer> <difficulty>",Where is the milk? 
460,bathroom,Answer:,Where is the apple? 
461,bathroom,Answer:,Where is the apple? 
462,bathroom,"Answer:

<context>

<question>

<answer>",Where is the football? 
463,bedroom,"OPTIONS:
[1]. The garden.
[2]. The hallway.",Where is the football? 
464,hallway,"Answer:

<choices>
<i>The garden</i>,<i",Where is the milk? 
465,garden,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the milk? 
466,garden,"Answer: The milk is in the bathroom.

<context>

<example",Where is the milk? 
467,hallway,"Answer:

OPTIONS:
- in the garden
- in the bathroom",Where is the football? 
468,hallway,"Answer:

Available options:
(1). in the garden.
(2",Where is the football? 
469,hallway,"Answer:

Available options:
(A). in the balcony.
(B",Where is the football? 
470,garden,"Answer:
<solution>
The answer is: The football is in the garden.",Where is the football? 
471,garden,"Answer:

Explanation:",Where is the football? 
472,garden,"Answer:
<choices> <i>The first was to obey the lawes and",Where is the football? 
473,garden,"Answer:

<choices>
<i>The milk is in the bathroom</",Where is the milk? 
474,garden,"Answer:

<context>
The answer is:
</context>",Where is the milk? 
475,hallway,Answer:,Where is the football? 
476,hallway,Answer:,Where is the football? 
477,hallway,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the football? 
478,hallway,"Answer:

<context>
_25th October, 181",Where is the football? 
479,kitchen,"Answer:

<choices>
<listing>
<item>1.",Where is the milk? 
480,office,"Answer:

<choices>
<listing>
<item>
<",Where is the football? 
481,office,Answer:,Where is the football? 
482,kitchen,Answer:,Where is the football? 
483,kitchen,"Answer:

pick from the following.
[A]. The kitchen.
[",Where is the apple? 
484,kitchen,"Answer:

In the kitchen.

In the hallway.

In",Where is the apple? 
485,bedroom,"Answer: The lady's right hand.

<context>

The lady's",Where is the apple? 
486,bathroom,"OPTIONS:
[a]. in the bathroom.
[b]. in the kitchen",Where is the football? 
487,bathroom,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the milk? 
488,bathroom,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the milk? 
489,bathroom,"Answer:

Available options:
[i] The bathroom.
[ii]",Where is the football? 
490,bathroom,"Answer:

<choices>
<a id=""choice-1""></a",Where is the apple? 
491,bathroom,"Answer: The kitchen.

Question: Who is the person who is going to fight",Where is the apple? 
492,office,"Answer:

In the kitchen.

Question: What is the apple for?",Where is the apple? 
493,bedroom,Answer:,Where is the apple? 
494,bedroom,"Answer:

<context>

<context>

<context>",Where is the apple? 
495,office,"Answer: The football is in the office.

Question: What is the difference between",Where is the football? 
496,hallway,"Answer: New York

Question: What is the most famous song in the world?",Where is the apple? 
497,bedroom,"Answer:

<context>
<context>
<context>
<context",Where is the football? 
498,hallway,"Answer:

<choices>
<i>The milk is in the kitchen</",Where is the milk? 
499,hallway,"Answer:

<solution>
The answer is: The milk is in the kitchen",Where is the milk? 
500,office,Answer:,Where is the apple? 
501,office,"Answer:

<choices>
<i>The apple was on the chopping block",Where is the apple? 
502,garden,"Answer: The bathroom.

Question: What is the meaning of the word ""p",Where is the milk? 
503,garden,"Answer:

In the bathroom

In the kitchen

In the bedroom",Where is the milk? 
504,bedroom,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where is the milk? 
505,bedroom,"Answer:

Available options:
[i] The milk is in the kitchen.",Where is the milk? 
506,bedroom,Answer:,Where is the apple? 
507,kitchen,"Answer:

<context>

The answer to this question is within the context",Where is the football? 
508,kitchen,"Answer:

Explanation:",Where is the milk? 
509,kitchen,Answer:,Where is the milk? 
510,office,Answer:,Where is the football? 
511,office,Answer:,Where is the football? 
512,office,Answer:,Where is the football? 
513,office,"Answer:

Available options:
[i] The garden.
[ii]",Where is the milk? 
514,office,"Answer:
<choices> <i>The football was in the kitchen.</i",Where is the football? 
515,office,Answer:,Where is the apple? 
516,office,Answer:,Where is the apple? 
517,office,"Answer:

Available options:
[i] The apple is in the veranda",Where is the apple? 
518,hallway,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the apple? 
519,bathroom,"Answer:

<choices>
<listing>
<item>
<",Where is the apple? 
520,office,Answer:,Where is the apple? 
521,office,"Answer:

<context>
The answer is:

A) The kitchen",Where is the apple? 
522,office,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the apple? 
523,hallway,"Answer:
<a href=""https://i.stack.imgur.com/99",Where is the football? 
524,garden,Answer:,Where is the football? 
525,hallway,"Answer:

Choose your answer from:
[A]. in the corner of the",Where is the football? 
526,hallway,"Answer:

<choices>
[1]. The underwriter.
[2",Where is the milk? 
527,garden,"OPTIONS:
[A]. in the kitchen.
[B]. in the garden",Where is the milk? 
528,office,"Answer:

Available options:
[i] in the hallway.
[",Where is the apple? 
529,office,"Answer:

OPTIONS:
[i] The kitchen.
[ii]",Where is the apple? 
530,bedroom,"Answer:

<choices>
<i>The office</i>
<",Where is the football? 
531,bedroom,"Answer:

<choices>
<i>A) in the garden.</",Where is the apple? 
532,hallway,"Answer:

Explanation:",Where is the football? 
533,hallway,Answer:,Where is the milk? 
534,hallway,"Answer:

<choices>
<option>The kitchen</option>
<",Where is the milk? 
535,kitchen,"Answer:

<choices>
<i>The kitchen</i>
<",Where is the apple? 
536,kitchen,"Answer:

<choices>
[a]. in the cabinet.
[b",Where is the apple? 
537,kitchen,"Answer:

<choices> <a id=""choice1""></a> <",Where is the milk? 
538,kitchen,Answer:,Where is the milk? 
539,garden,"Answer:

<choices>
<i>The football was dropped</i>",Where is the football? 
540,office,,Where is the football? 
541,office,"Answer:

<solution>
The answer is: The football is in the bathroom",Where is the football? 
542,garden,"Answer:

Choose your answer from:
[A]. in the kitchen.",Where is the milk? 
543,bathroom,Answer:,Where is the apple? 
544,bedroom,"Answer:

<context>
Sandra went back to the garden.
</",Where is the apple? 
545,office,"Answer:
Available options:
[i] The bathroom.
[ii] The kitchen",Where is the milk? 
546,bathroom,"Answer:

Available options:
[i] the bathroom
[ii] the",Where is the milk? 
547,bathroom,"Answer:

<choices> <a id=""choice-1""></a>",Where is the milk? 
548,bathroom,Answer:,Where is the milk? 
549,hallway,"Answer:

<choices> <!-- answer -->
 <!-- answer -->",Where is the football? 
550,bathroom,Answer:,Where is the apple? 
551,bathroom,"Answer:

<choices>
[a]. in the kitchen.
[b",Where is the football? 
552,hallway,,Where is the apple? 
553,hallway,"Answer:

<choices>
<i>A) bathroom</i>",Where is the apple? 
554,bathroom,"Answer:

<choices>
<i>The kitchen</i>,<br",Where is the milk? 
555,garden,"Answer: In the kitchen.

[Illustration]

[Illustration]",Where is the milk? 
556,office,Answer:,Where is the milk? 
557,office,"Answer:

[Illustration]

[Illustration]

[Illust",Where is the milk? 
558,bathroom,"Answer:

<context>
The milk was in the kitchen.
</context",Where is the milk? 
559,office,"Answer:

<choices> <a href=""/q/1"">A</",Where is the apple? 
560,bedroom,Answer:,Where is the milk? 
561,bathroom,"Answer:

<choices>
<listing>
<item>
<",Where is the apple? 
562,bathroom,Answer:,Where is the apple? 
563,bathroom,"Answer:

<choices> <a id=""choice-1""></a>",Where is the apple? 
564,garden,"Answer:

OPTIONS:
[A]. The old hen and her chickens.",Where is the football? 
565,office,Answer:,Where is the football? 
566,bedroom,Answer:,Where is the milk? 
567,hallway,Answer:,Where is the apple? 
568,office,Answer:,Where is the apple? 
569,bedroom,"Answer:

<choices>
<i>The kitchen</i>,<br",Where is the milk? 
570,bedroom,"Answer:

<choices> <a href=""/q/1"">A</",Where is the milk? 
571,bedroom,"Answer:

pick from the following:
[A]. bathroom;
[B",Where is the milk? 
572,bathroom,Answer:,Where is the apple? 
573,office,"Answer:

In the bathroom.

Question: What is the name of the",Where is the milk? 
574,office,"Answer:

<choices> <option> The pantry. <option> The cell",Where is the milk? 
575,bathroom,"Answer:

Answer:

Question: What is the name of the person who",Where is the milk? 
576,bedroom,"Answer: The milk is in the balcony.

Is the answer: yes, or",Where is the milk? 
577,bathroom,"OPTIONS:
[a]. in the kitchen.
[b]. in the balcony",Where is the milk? 
578,bathroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
579,bathroom,"Answer:

<context>

<context>

<context>",Where is the milk? 
580,hallway,"Answer:

<context>
The football was thrown by Daniel.
</context>",Where is the football? 
581,office,"Answer:

<choices> <option>The football is in the garden.",Where is the football? 
582,office,"Answer:

OPTIONS:
[i] in the garden.
[ii",Where is the football? 
583,garden,"Answer:

<choices>
<a id=""choice1""></a>",Where is the milk? 
584,garden,"Answer:

<context>
The milk was in the kitchen.
</context",Where is the milk? 
585,garden,"Answer:

<choices> <a href=""/answer"">a. the house",Where is the milk? 
586,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
587,garden,"Answer:

Choose from:
[A]. in the kitchen.
[B",Where is the milk? 
588,garden,"Answer:

Choose your answer from:
(a). The garden.
(",Where is the milk? 
589,garden,"Answer:

<context>

The answer is:

<choices>",Where is the milk? 
590,bedroom,Answer:,Where is the apple? 
591,kitchen,"Answer:

<context>
<example>
<item>
<item",Where is the milk? 
592,bedroom,Answer:,Where is the apple? 
593,bedroom,"Answer:

Explanation:",Where is the apple? 
594,bedroom,"Answer:

<solution>
The answer is: <context>The apple is",Where is the apple? 
595,hallway,"Answer:

<context>
The milk is in the kitchen.
</context",Where is the milk? 
596,hallway,Answer:,Where is the milk? 
597,hallway,"Answer: The milk was sold at South Water street.

Question: What is the",Where is the milk? 
598,kitchen,"Answer: In the bathroom.

Question: What is the first unusual result?",Where is the football? 
599,garden,"Answer:

<context>

<context>

<context>",Where is the apple? 
600,kitchen,"Answer: The _Alexandrine_ manuscript

<context>

Question:",Where is the apple? 
601,kitchen,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
602,hallway,"Answer:

Available options:
[i] The church.
[ii]",Where is the football? 
603,garden,"Answer:

<choices>
<!-- answers: -->
<option",Where is the apple? 
604,hallway,"Answer:

In the garden.

Question: What is the poet's opinion",Where is the football? 
605,bedroom,"Answer:

<choices>
<!-- answer is ""The football is in",Where is the football? 
606,bedroom,"Answer:

Available options:
[1]. in the kitchen.
[2",Where is the milk? 
607,bedroom,"<a name=""context""></a>
<context>
<answer>",Where is the milk? 
608,bathroom,"Answer:

<context>

The context states that the milk was in the",Where is the milk? 
609,hallway,"Answer:

OPTIONS:
[i] The kitchen.
[ii]",Where is the apple? 
610,garden,"Answer:

<context>

Answer:

Answer:

Answer",Where is the apple? 
611,garden,"Answer:

in the balcony

pick from the following.
[I]",Where is the apple? 
612,garden,"Answer:

pick from the following.
[I] in the garden.",Where is the apple? 
613,garden,"Possible answers:
[A]. in the kitchen.
[B]. in the balcony.",Where is the apple? 
614,garden,"Answer:

OPTIONS:
[i] in the kitchen.
[ii",Where is the apple? 
615,garden,"Answer:

<context>
The apple is in the garden.
</context",Where is the apple? 
616,hallway,Answer:,Where is the apple? 
617,hallway,Answer:,Where is the apple? 
618,garden,Answer:,Where is the football? 
619,kitchen,"Answer: Mary left the milk.

Question: What is the sacrament?",Where is the milk? 
620,bedroom,"Answer:

<context>

<context>

<context>",Where is the football? 
621,bedroom,"Answer:

<context>

The answer is:

<choices>",Where is the football? 
622,bedroom,"Answer:

<choices> <!-- answer -->
<option>The hall",Where is the football? 
623,bathroom,Answer:,Where is the apple? 
624,garden,"Answer:

<choices>
<option1>The garden.
<option",Where is the apple? 
625,kitchen,Answer:,Where is the football? 
626,kitchen,Answer:,Where is the football? 
627,kitchen,Answer: The milk is in the bathroom.,Where is the milk? 
628,bathroom,Answer:,Where is the milk? 
629,bathroom,Answer:,Where is the milk? 
630,bathroom,"Answer:

Available options:
(1). in the kitchen.
(2",Where is the football? 
631,kitchen,Answer:,Where is the apple? 
632,kitchen,Answer:,Where is the apple? 
633,kitchen,"Answer:

<context>

The apple is in the kitchen.",Where is the apple? 
634,office,"Answer:

<choices>
<i>A) The milk is in the",Where is the milk? 
635,garden,"Answer:

<choices> <a href=""/answer"">A</a>",Where is the football? 
636,garden,"Answer:

Available options:
(A). in the hallway.
(",Where is the football? 
637,garden,"Answer:

In the kitchen

Is the following sentence factually correct?",Where is the milk? 
638,garden,"Answer:

[1] The garden.

[2] The bedroom.",Where is the milk? 
639,garden,"Answer:

<context>
<question>
<answer>
<context",Where is the milk? 
640,office,"OPTIONS:
[a]. in the kitchen.
[b]. in the barn",Where is the milk? 
641,office,"OPTIONS:
[a]. in the kitchen.
[b]. in the balcony",Where is the apple? 
642,bathroom,"Answer:

<context>

The milk was in the kitchen.",Where is the milk? 
643,bathroom,"Answer:

<solution>
The answer is: The milk is in the kitchen",Where is the milk? 
644,office,Answer:,Where is the apple? 
645,garden,Answer:,Where is the football? 
646,office,"Answer: The milk is in the kitchen.

Who went to the office?",Where is the milk? 
647,office,"Answer:

OPTIONS:
- In the garden.
- In the kitchen",Where is the milk? 
648,garden,"Answer:

Choose from:
[A]. in the kitchen.
[B",Where is the football? 
649,garden,"Answer:

<choices>
<i>The kitchen</i>
<",Where is the football? 
650,office,Answer:,Where is the apple? 
651,office,"Answer:

<choices>
<option>The kitchen
</option>",Where is the apple? 
652,garden,"Answer:

<choices>
[i] The drawing-room.
[",Where is the football? 
653,garden,"Answer: The football is in the hallway.

Question: What is the name",Where is the football? 
654,garden,"Answer: The football is in the hallway.

Question: What is the name of",Where is the football? 
655,garden,"Answer:

Available options:
[i] The football is in the bedroom.",Where is the football? 
656,garden,Answer:,Where is the apple? 
657,bathroom,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the football? 
658,garden,"OPTIONS:
[a]. in the kitchen.
[b]. in the bathroom",Where is the apple? 
659,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the apple? 
660,office,"Answer:

<context>

<question>

<answer>",Where is the football? 
661,office,"Answer:
<choices>
<!-- answer is within the context -->
<",Where is the football? 
662,hallway,Answer:,Where is the apple? 
663,hallway,"Answer:

<context>
p. 110, Madhi -->",Where is the apple? 
664,hallway,"Answer:

Choose from:
[A]. bedroom.
[B]. office",Where is the apple? 
665,kitchen,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
666,garden,"Answer:

Available options:
(1). in the kitchen.
(2",Where is the football? 
667,garden,"Answer:

OPTIONS:
[i] The kitchen.
[ii]",Where is the milk? 
668,hallway,Answer:,Where is the apple? 
669,hallway,"Answer:

<choices>
<i>The kitchen</i>,<br",Where is the apple? 
670,bathroom,"Answer:

pick from the following.
[I] in the field.",Where is the football? 
671,bathroom,Answer:,Where is the football? 
672,bathroom,"Possible answers:
(A). in the bathroom.
(B). in the kitchen.",Where is the football? 
673,bathroom,"Answer: The milk is in the bathroom.

<context>

The answer",Where is the milk? 
674,bathroom,"Answer:

<choices>
<!-- TODO: Add choices here -->",Where is the milk? 
675,garden,"Answer:

<choices>
<!-- Your answer goes here -->
</",Where is the football? 
676,garden,"Answer:

<choices>
<i>The football was in the office.",Where is the football? 
677,garden,"Answer:

Available options:
[i] the back seat
[ii]",Where is the football? 
678,bathroom,"Answer:

Available options:
[i] The milk is in the garden.",Where is the milk? 
679,bathroom,"Answer:

OPT:
[i] The bathroom.
[ii] The",Where is the milk? 
680,bedroom,"Answer: ""The next b--r wot interrupts goes out through the bloody wind",Where is the milk? 
681,bedroom,"Answer:

<choices>
+<i>The football is in the hall",Where is the football? 
682,bedroom,"Answer:

<choices>
+ <i>The kitchen</i>",Where is the milk? 
683,bathroom,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the football? 
684,office,Answer:,Where is the football? 
685,kitchen,"Answer:

<context>
<example>
<context>
<example",Where is the apple? 
686,garden,"Answer:

<context>

<example>

<example>",Where is the football? 
687,garden,"Answer:

<context>

The answer is:

A) The",Where is the football? 
688,bathroom,Answer:,Where is the football? 
689,bathroom,"Answer:

<choices>
<!-- Your answer goes here -->
</",Where is the football? 
690,bedroom,"Answer:

<choices> <!-- Answer -->
<!-- Answer -->",Where is the apple? 
691,bedroom,"Answer:

<choices>
<!-- answers: -->
<!--",Where is the apple? 
692,bedroom,Answer:,Where is the apple? 
693,office,"Answer:

<context>

<example>
<example>
<",Where is the milk? 
694,office,"Answer:

<context>

<question>

<answer>",Where is the milk? 
695,bathroom,"Answer:

Available options:
(1). The barn.
(2).",Where is the apple? 
696,bathroom,"Answer:

Available options:
[i] The apple is in the grass.",Where is the apple? 
697,kitchen,"Answer:

Possible answers:
[i] The kitchen
[ii] The",Where is the football? 
698,kitchen,"Answer: The football was given to Sandra by James B. Power.

Who is",Where is the football? 
699,garden,"Answer:

<choices> <a href=""/qampage/20",Where is the football? 
700,bathroom,"<context>

<answer>

<question>

<answer>",Where is the milk? 
701,bathroom,"Answer: In the kitchen

Who is the milkman?

Answer: Daniel",Where is the milk? 
702,bathroom,"Answer: The milk is in the hallway.

Question: Who is the milk",Where is the milk? 
703,bathroom,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
704,office,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
705,bedroom,"Answer:

OPT:
- in the kitchen
- in the balcony
-",Where is the football? 
706,bedroom,Answer:,Where is the football? 
707,bedroom,"Answer: The football is in the kitchen.

Based on this paragraph, choose the",Where is the football? 
708,bedroom,"Answer:

<context>

The football was in the kitchen.
</",Where is the football? 
709,bedroom,Answer:,Where is the football? 
710,garden,"Answer:

Available options:
[i] The house.
[ii]",Where is the milk? 
711,garden,"Answer:

Explanation:",Where is the apple? 
712,garden,Answer:,Where is the apple? 
713,garden,"Answer:

<solution>
The answer is: The apple is in the garden",Where is the apple? 
714,garden,"Answer:

<choices>
<option1>The kitchen</option1>",Where is the milk? 
715,office,"Answer:

<choices>
<option1>The kitchen.
<option",Where is the milk? 
716,office,"Answer:

Available options:
[i] the kitchen
[ii] the",Where is the milk? 
717,kitchen,"Answer:
<choices> <i>The heart</i>, <i>The",Where is the football? 
718,kitchen,Answer:,Where is the football? 
719,office,"Answer:

<choices>
[i] The bathroom
[ii] The",Where is the milk? 
720,garden,Answer:,Where is the apple? 
721,garden,Answer:,Where is the apple? 
722,bedroom,"Answer:

<choices>
<!-- answers: --><item>The",Where is the football? 
723,hallway,"Answer:

OPT:
[i] The barn.
[ii] The",Where is the football? 
724,office,"OPTIONS:
[a]. in the kitchen.
[b]. in the garage",Where is the football? 
725,office,"Answer:

OPTIONS:
[i] The kitchen.
[ii]",Where is the football? 
726,office,"Answer:

OPTIONS:
- in the garden
- in the kitchen",Where is the football? 
727,kitchen,"Answer:

OPT:

A). The British Mess

B). The",Where is the football? 
728,kitchen,"Answer:

<choices>
[i] The kitchen.
[ii]",Where is the apple? 
729,kitchen,"Answer:

<context>
The answer is:

<choices>",Where is the football? 
730,bedroom,"Answer:

<choices>
<listing>
<item>
<",Where is the milk? 
731,bathroom,"Answer:

<choices>
<i>A) Rockville</i>",Where is the apple? 
732,bathroom,"Answer:

<choices>
<i>The first location</i>",Where is the football? 
733,bathroom,"Answer:

Available options:
[i] The milk is in the kitchen.",Where is the milk? 
734,bathroom,"Answer:

<choices>
[a]. The kitchen.
[b].",Where is the football? 
735,bathroom,"Answer: The milk is in the bathroom.

Question: Where is the bottle?",Where is the milk? 
736,bathroom,"Answer:

<choices>
<listing>
<item>1.",Where is the football? 
737,bathroom,"Answer:

<context>
The milk is in the kitchen.
</context",Where is the milk? 
738,bathroom,"Answer:

<context>
<Question>

<Answer>",Where is the milk? 
739,bathroom,"Answer:

Choose your answer from:
[A]. The office.
[",Where is the milk? 
740,garden,"Answer:

Available options:
[i] The apple is in the kitchen.",Where is the apple? 
741,garden,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where is the apple? 
742,bedroom,"Answer:

<choices>
[a]. in the kitchen.
[b",Where is the football? 
743,bathroom,"Answer:

<choices>
<!-- Your answer goes here -->
</",Where is the football? 
744,bathroom,"Answer:

<choices>
<a id=""choice-1""></a",Where is the football? 
745,hallway,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the milk? 
746,hallway,"Answer:

<choices> <a href=""/q/1176",Where is the milk? 
747,hallway,"Answer:

<context>
<example>
<context>
<example",Where is the milk? 
748,kitchen,"Answer:

<context>

<context>

<context>",Where is the football? 
749,hallway,"Answer:

<context>

<example>

<example>",Where is the milk? 
750,office,"Answer:
<choices> <i>The football was in the balcony.</i",Where is the football? 
751,hallway,Answer:,Where is the football? 
752,garden,Answer:,Where is the football? 
753,garden,"Answer:

Available options:
(1). in the hallway.
(",Where is the football? 
754,garden,"Answer:

Available options:
(A). in the kitchen.
(B",Where is the football? 
755,kitchen,"Answer:

Available options:
[i] The kitchen.
[ii]",Where is the apple? 
756,kitchen,Answer:,Where is the apple? 
757,bedroom,"Answer:

<context>
In the office.
</context>",Where is the football? 
758,bedroom,"Answer:

<choices> <i>Milnwood</i>, <i",Where is the football? 
759,bedroom,Answer:,Where is the football? 
760,kitchen,"Answer: The apple is in the garden.

Question: Who is the person who",Where is the apple? 
761,office,"Answer:

<choices>
[A]. The kitchen.
[B].",Where is the milk? 
762,office,Answer:,Where is the milk? 
763,kitchen,"Answer:

<solution>

The answer is: The apple is in the",Where is the apple? 
764,bathroom,Answer:,Where is the apple? 
765,kitchen,Answer:,Where is the milk? 
766,kitchen,Answer:,Where is the milk? 
767,bathroom,"Answer:
<choices>
<!-- answers.rdf -->
<item",Where is the apple? 
768,bathroom,Answer:,Where is the apple? 
769,kitchen,Answer:,Where is the milk? 
770,garden,"Answer:

Available options:
(A). in the office.
(B",Where is the football? 
771,garden,"Answer:

Available options:
(A). in the garden.
(B",Where is the football? 
772,garden,"Answer:

Available options:
(A). in the hallway.
(",Where is the football? 
773,garden,"Answer:

Available options:
[A]. The garden.
[B].",Where is the football? 
774,garden,"Answer:

<choices>
<!-- TODO: Add choices here -->",Where is the football? 
775,kitchen,"Answer: The football is in the bathroom.

Question: Who went to the bathroom",Where is the football? 
776,office,"Answer:

OPTIONS:
- bathroom
- kitchen
- bedroom
-",Where is the football? 
777,bathroom,"Answer:

OPTIONS:
- in the kitchen
- in the balcony",Where is the apple? 
778,office,"Answer:

Available options:
[i] The football is in the kitchen.",Where is the football? 
779,office,Answer:,Where is the apple? 
780,bathroom,Answer:,Where is the apple? 
781,garden,"Answer:

Explanation:",Where is the milk? 
782,bathroom,"Answer:

<choices>
<i>A) The church of St.",Where is the apple? 
783,garden,Answer:,Where is the football? 
784,kitchen,"Answer:

<solution>
The answer is: The football is in the kitchen",Where is the football? 
785,office,"Answer:

Available options:
(i). in the boat.
(ii",Where is the football? 
786,office,"Answer:

Choose your answer from:
[A]. The kitchen.
[",Where is the football? 
787,hallway,Answer:,Where is the apple? 
788,bathroom,"Answer:

Available options:
[i] the library
[ii] the",Where is the milk? 
789,bathroom,"Answer:

<choices> <!-- options: --><br />
1",Where is the milk? 
790,bedroom,"Answer:

<choices> <!-- answer -->
<!-- answer -->",Where is the football? 
791,bedroom,"Answer:
<choices>
<i>The house</i>
<i",Where is the football? 
792,bathroom,Answer:,Where is the apple? 
793,bathroom,,Where is the apple? 
794,office,"Answer:

<context>

The milk was on the cliff beside the way",Where is the milk? 
795,hallway,Answer:,Where is the apple? 
